loss,accuracy,val_loss,val_accuracy,lr
0.5780093669891357,0.7878788113594055,0.2416418194770813,0.926174521446228,0.001
0.35444018244743347,0.8569023609161377,0.19960065186023712,0.9328858852386475,0.001
0.30039140582084656,0.8956229090690613,0.20505909621715546,0.9228187799453735,0.001
0.2814413607120514,0.8939393758773804,0.20080602169036865,0.9295302033424377,0.001
0.27328869700431824,0.8922559022903442,0.18282702565193176,0.9295302033424377,0.001
0.2628757059574127,0.9099326729774475,0.17608648538589478,0.9429529905319214,0.001
0.2290491908788681,0.9040403962135315,0.16474737226963043,0.9429529905319214,0.001
0.24482861161231995,0.9090909361839294,0.15873371064662933,0.9429529905319214,0.001
0.23074550926685333,0.9099326729774475,0.16213537752628326,0.9496644139289856,0.001
0.23376265168190002,0.9057239294052124,0.16546748578548431,0.9463087320327759,0.001
0.24487964808940887,0.9023569226264954,0.15628618001937866,0.9664429426193237,0.001
0.22220838069915771,0.9141414165496826,0.16054216027259827,0.963087260723114,0.001
0.20893241465091705,0.9141414165496826,0.17329230904579163,0.9463087320327759,0.001
0.20418193936347961,0.9099326729774475,0.15984509885311127,0.9597315192222595,0.001
0.21041381359100342,0.9074074029922485,0.15898068249225616,0.9563758373260498,0.000100000005
0.21020343899726868,0.9183501601219177,0.15890924632549286,0.9597315192222595,0.000100000005
